question,answer,options,llm_labeled_successfully,llm_label
"A 48-year-old woman underwent a thyroidectomy with central neck dissection due to papillary thyroid carcinoma. On day 2 postoperatively, she developed irritability, dysphagia, difficulty breathing, and spasms in different muscle groups in her upper and lower extremities. The vital signs include blood pressure 102/65 mm Hg, heart rate 93/min, respiratory rate 17/min, and temperature 36.1℃ (97.0℉). Physical examination shows several petechiae on her forearms, muscle twitching in her upper and lower extremities, expiratory wheezes on lung auscultation, decreased S1 and S2 and the presence of an S3 on cardiac auscultation, and positive Trousseau and Chvostek signs. Laboratory studies show:
Ca2+ 4.4 mg/dL
Mg2+ 1.7 mEq/L
Na+ 140 mEq/L
K+ 4.3 mEq/L
Cl- 107 mEq/L
HCO3-  25 mEq/L
Administration of which of the following agents could prevent the patient’s condition?",Vitamin D and ionic calcium prior to and 2 weeks after the operation,"['Anticonvulsants prior to and for 1 week after the operation', 'Magnesium sulfate intraoperatively', 'Vitamin D and ionic calcium prior to and 2 weeks after the operation', 'Calcium gluconate intraoperatively', 'Potassium supplementation prior to and 2 weeks after the operation']",yes,Magnesium sulfate intraoperatively
"A 24-year-old man presents to the clinic with the complaint of a new rash. The lesions are not bothersome, but he is worried as he has never seen anything like this on his body. Upon further questioning the patient states has been generally healthy except for a one time ""horrible"" flu-like episode two months ago in June. He has since gotten better. On physical exam the following rash is observed (Figure 1). What is the cause of this patient's rash?",Molluscum contagiosum virus,"['Staphylococcus aureus cellulitis', 'Molluscum contagiosum virus', 'Human immunodeficiency virus (HIV)', 'Human papilloma virus (HPV)', 'Varicella zoster virus (VZV)']",yes,Molluscum contagiosum virus
"A 24-year-old woman comes to the physician because she feels sad and has had frequent, brief episodes of crying for the last month. During this period, she sleeps in every morning and spends most of her time in bed playing video games or reading. She has not been spending time with friends but still attends a weekly book club and continues to plan her annual family reunion. She stopped going to the gym, eats more, and has gained 4 kg (8.8 lb) over the past 4 weeks. Three weeks ago, she also started to smoke marijuana a few times a week. She drinks one glass of wine daily and does not smoke cigarettes. She is currently unemployed; she lost her job as a physical therapist 3 months ago. Her vital signs are within normal limits. On mental status examination, she is calm, alert, and oriented to person, place, and time. Her mood is depressed; her speech is organized, logical, and coherent. She denies suicidal thoughts. Which of the following is the most likely diagnosis?",Adjustment disorder,"['Adjustment disorder', 'Dysthymic disorder', 'Substance use disorder', 'Bipolar disorder', 'Major depressive disorder']",yes,Major depressive disorder
"Eighteen hours after the vaginal delivery of a 2788-g (6-lb 2-oz) newborn, a 22-year-old woman has weakness and numbness of her right foot. She is unable to walk without dragging and shuffling the foot. The delivery was complicated by prolonged labor and had received epidural analgesia. There is no personal or family history of serious illness. Her temperature is 37.3°C (99.1°F), pulse is 98/min, and blood pressure is 118/70 mm Hg. Examination shows a high-stepping gait. There is weakness of right foot dorsiflexion and right ankle eversion. Sensation is decreased over the dorsum of the right foot and the anterolateral aspect of the right lower extremity below the knee. Deep tendon reflexes are 2+ bilaterally. The remainder of the examination shows no abnormalities. Which of the following is the most likely cause of this patient's symptoms?",Compression of the common peroneal nerve,"['L2-L4 radiculopathy', 'Effect of epidural anesthesia', 'Postpartum angiopathy', 'Compression of the common peroneal nerve', 'Lateral femoral cutaneous nerve injury']",yes,Compression of the common peroneal nerve
"A 41-year-old African American woman presents to her primary care physician with a 3-week history of lower extremity edema and shortness of breath. She says that she has also noticed that she gets fatigued more easily and has been gaining weight. Her past medical history is significant for sickle cell disease and HIV infection for which she is currently taking combination therapy. Physical exam is significant for periorbital and lower extremity edema. Laboratory testing is significant for hypoalbuminemia, and urinalysis demonstrates 4+ protein. Which of the following would most likely be seen on kidney biopsy in this patient?",Segmental scarring,"['Birefringence under polarized light', 'Normal glomeruli', 'Expansion of the mesangium', 'Segmental scarring', 'Subepithelial deposits']",yes,Subepithelial deposits
"A 31-year-old man presents with a headache, myalgias, nausea, irritability, and forgetfulness. He developed these symptoms gradually over the past 3 months. He is a motor mechanic, and he changed his place of work 4 months ago. He smokes a half a pack of cigarettes per day. His vaccinations are up to date. On presentation, his vital signs are as follows: blood pressure is 145/70 mm Hg, heart rate is 94/min, respiratory rate is 17/min, and temperature is 36.8℃ (98.2℉). Physical examination reveals diffuse erythema of the face and chest and slight abdominal distention. Neurological examination shows symmetrical brisk upper and lower extremities reflexes. Blood tests show the following results:
pH 7.31
Po2 301 mm Hg
Pco2 28 mm Hg
Na+ 141 mEq/L
K+ 4.3 mEq/L
Cl- 109 mEq/L
HCO3- 17 mEq/L
Base Excess -3 mEq/L
Carboxyhemoglobin  38%
Methemoglobin 1%
Serum cyanide 0.35 mcg/mL (Reference range 0.5–1 mcg/mL)
Which of the following statements about the patient’s condition is true?",This patient’s symptoms are due to CO-induced inactivation of cytochrome oxidase and carboxyhemoglobin formation.,"['The patient’s symptoms are a consequence of his essential hypertension.', 'Chronic cyanide exposure is the main cause of patient’s condition.', 'This patient’s symptoms are due to CO-induced inactivation of cytochrome oxidase and carboxyhemoglobin formation.', 'Viral infection should be suspected in this patient.', 'This patient has disrupted glycolysis due to inactivation of fructose-bisphosphate aldolase.']",yes,This patient’s symptoms are due to CO-induced inactivation of cytochrome oxidase and carboxyhemoglobin formation.
"A 58-year-old woman presents to the clinic with an abnormal sensation on the left side of her body that has been present for the past several months. At first, the area seemed numb and she recalls touching a hot stove and accidentally burning herself but not feeling the heat. Now she is suffering from a constant, uncomfortable burning pain on her left side for the past week. The pain gets worse when someone even lightly touches that side. She has recently immigrated and her past medical records are unavailable. Last month she had a stroke but she cannot recall any details from the event. She confirms a history of hypertension, type II diabetes mellitus, and bilateral knee pain. She also had cardiac surgery 20 years ago. She denies fever, mood changes, weight changes, and trauma to the head, neck, or limbs. Her blood pressure is 162/90 mm Hg, the heart rate is 82/min, and the respiratory rate is 15/min. Multiple old burn marks are visible on the left hand and forearm. Muscle strength is mildly reduced in the left upper and lower limbs. Hyperesthesia is noted in the left upper and lower limbs. Laboratory results are significant for:
Hemoglobin 13.9 g/dL
MCV 92 fL
White blood cells 7,500/mm3
Platelets 278,000/mm3
Creatinine 1.3 U/L
BUN 38 mg/dL
TSH 2.5 uU/L
Hemoglobin A1c 7.9%
Vitamin B12 526 ng/L
What is the most likely diagnosis?",Dejerine-Roussy syndrome,"['Complex regional pain syndrome', 'Conversion disorder', 'Dejerine-Roussy syndrome', 'Medial medullary syndrome', 'Subacute combined degeneration of spinal cord']",yes,Complex regional pain syndrome
"A 65-year-old man presents with complaints of weakness and swollen gums for the past 3 weeks. He also says he cut his finger while cooking, and the bleeding took more than 10 minutes to stop. He has a family history of diabetes mellitus type 2 and prostate cancer. Current medications are multivitamin. His blood pressure is 122/67 mm Hg, the respiratory rate is 13/min, and the temperature is 36.7°C (98.0°F). On physical examination, the patient seems pale and lethargic. On cardiac exam, a pulmonary valve flow murmur is heard. There is significant hepatosplenomegaly present, and several oral mucosal petechiae in the oral cavity are noted. Gum hypertrophy is also present. A peripheral blood smear reveals myeloperoxidase-positive cells and Auer Rods. A bone marrow biopsy shows > 30% of blast cells. Which of the following chromosomal abnormalities is associated with this patient’s most likely diagnosis?",t(15;17),"['JAK2 mutation', 't(9;22)', 't(15;17)', 't(11;14)', 't(8;14)']",yes,t(9;22)
"A 2-year-old boy is brought to the emergency department because of fever, cough, and ear pain over the past 2 days. He has had recurrent respiratory tract infections and several episodes of giardiasis and viral gastroenteritis since he was 6 months of age. Examination shows decreased breath sounds over both lung fields and bilateral purulent otorrhea. His palatine tonsils and adenoids are hypoplastic. Quantitative flow cytometry of his blood shows decreased levels of cells that express CD19, CD20, and CD21. Which of the following is the most likely cause of this patient's condition?",Mutation in tyrosine kinase gene,"['Mutation in WAS gene', 'Mutation in tyrosine kinase gene', 'Microdeletion on the long arm of chromosome 22', 'Mutation in NADPH oxidase gene', 'Defect in beta-2 integrin']",yes,Microdeletion on the long arm of chromosome 22
"A 20-year-old male is involuntarily admitted to the county psychiatric unit for psychotic behavior over the past three months. The patient's mother explained to the psychiatrist that her son had withdrawn from family and friends, appeared to have no emotions, and had delusions that he was working for the CIA. When he spoke, his sentences did not always seem to have any connection with each other. The mother finally decided to admit her son after he began stating that he ""revealed too much information to her and was going to be eliminated by the CIA."" Which of the following diagnoses best fits this patient's presentation?",Schizophreniform disorder,"['Brief psychotic disorder', 'Schizophreniform disorder', 'Schizophrenia', 'Schizoid personality disorder', 'Schizotypal peronsality disorder']",yes,Brief psychotic disorder
"A 42-year-old man is admitted to the hospital for pain and swelling in his right foot. His temperature is 39.7°C (103.5°F), pulse is 116/min, respirations are 23/min, and blood pressure is 69/39 mmHg. A drug is administered via a peripheral intravenous line that works primarily by increasing inositol trisphosphate concentrations in arteriolar smooth muscle cells. Eight hours later, the patient has pain at the right antecubital fossa. Examination shows the skin around the intravenous line site to be pale and cool to touch. After discontinuing the infusion, which of the following is the most appropriate pharmacotherapy to prevent further tissue injury in this patient?",Phentolamine,"['Procaine', 'Phentolamine', 'Tamsulosin', 'Conivaptan', 'Heparin']",yes,Phentolamine
"A rheumatologist is evaluating the long-term risk of venous thromboembolism in patients with newly diagnosed rheumatoid arthritis by comparing two retrospective cohort studies. In study A, the hazard ratio for venous thromboembolism was found to be 1.7 with a 95% confidence interval of 0.89–2.9. Study B identified a hazard ratio for venous thromboembolism of 1.6 with a 95% confidence interval of 1.1–2.5. Which of the following statements about the reported association in these studies is most accurate?",The p-value of study A is likely larger than the p-value of study B.,"['The results of study B are less likely to be accurate than the results of study A.', 'The HR of study B is less likely to be statistically significant than the HR of study A.', 'Study A likely had a larger sample size than study B.', 'The p-value of study A is likely larger than the p-value of study B.', 'The power of study B is likely smaller than the power of study A.']",no,NO_LABEL
"A 53-year-old woman comes to the physician for a follow-up examination. One month ago, she was diagnosed with carcinoma of the left breast. She underwent a lumpectomy for a 2.1-cm mass and sentinel lymph node biopsy 2 weeks ago. The biopsy of the breast mass showed margin-free invasive ductal carcinoma; immunohistochemistry showed the carcinoma is estrogen-receptor and progesterone-receptor negative, and HER2-receptor positive. The lymph node biopsy was negative for metastases. Examination shows a healing surgical incision over the left breast. There is no palpable axillary lymphadenopathy. Her physician decides to initiate treatment with appropriate pharmacotherapy. Which of the following is the most appropriate next step in management?",Echocardiography,"['Echocardiography', 'Fundoscopy', 'Dual energy x-ray absorptiometry scan', 'X-ray of the chest', 'Endometrial biopsy']",yes,X-ray of the chest
"A 38-year-old woman with a history of Crohn’s disease presents with a 3-week history of weight gain. The patient also presents with a 1-month history of abdominal pain, cramping, and bloody diarrhea consistent with worsening of her inflammatory bowel disease. Past medical history is significant for Crohn’s disease diagnosed 2 years ago for which she currently takes an oral medication daily and intermittently receives intravenous medication she cannot recall the name of. Her temperature is 37.0°C (98.6°F), blood pressure is 120/90 mm Hg, pulse is 68/min, respiratory rate is 14/min, and oxygen saturation is 99% on room air. Physical examination reveals significant truncal weight gain. The patient has excessive facial hair in addition to purplish striae on her abdomen. Which of the following laboratory findings would most likely be found in this patient?",Hypokalemia,"['Hyperkalemia', 'Normal random blood glucose levels', 'Metabolic acidosis', 'Hypoglycemia', 'Hypokalemia']",yes,Hypokalemia
"A 65-year-old woman comes to the physician because of a 2-month history of persistent pain in her right shoulder. The pain is localized to the top of the shoulder and is worse with movement. She has stiffness in the right shoulder that is worse in the morning and usually lasts 20 minutes. The patient reports that she is unable to brush her hair and has stopped going to her regular tennis lessons because of the pain. She does not recall any fall or trauma. When her right arm is passively abducted in an arc, there is pain between 60 and 120 degrees of abduction. When asked to lower the right arm slowly from 90 degrees of abduction, she is unable to hold her arm up and it drops to her side. Passive range of motion is normal. Injection of 5 mL of 1% lidocaine into the right subacromial space does not relieve the pain or improve active range of motion of the right arm. Which of the following is the most likely diagnosis?",Rotator cuff tear,"['Cervical radiculopathy', 'Rotator cuff tear', 'Calcific tendinitis', 'Subacromial bursitis', 'Biceps tendinitis']",yes,Rotator cuff tear
"A 23-year-old woman presents to the emergency department with an acute exacerbation of her 3-month history of low back and right leg pain. She says she has had similar symptoms in the past, but this time the pain was so excruciating, it took her breath away. She describes the pain as severe, shock-like, and localized to her lower back and radiating straight down the back of her right thigh and to her calf, stopping at the ankle. Her pain is worse in the morning, and, sometimes, the pain wakes her up at night with severe buttock and posterior thigh pain but walking actually makes the pain subside somewhat. The patient reports no smoking history or alcohol or drug use. She has been working casually as a waitress and does find bending over tables a strain. She is afebrile, and her vital signs are within normal limits. On physical examination, her left straight leg raise test is severely limited and reproduces her buttock pain at 20° of hip flexion. Pain is worsened by the addition of ankle dorsiflexion. The sensation is intact. Her L4 and L5 reflexes are normal, but her S1 reflex is absent on the right side. A CT of the lumbar spine shows an L5–S1 disc protrusion with right S1 nerve root compression. Which of the following muscle-nerve complexes is involved in producing an S1 reflex?",Gastrocnemius/soleus-tibial nerve,"['Tibialis posterior-tibial nerve', 'Quadriceps femoris-femoral nerve', 'Sartorius-femoral nerve', 'Adductors-obturator nerve', 'Gastrocnemius/soleus-tibial nerve']",yes,Gastrocnemius/soleus-tibial nerve
"A 45-year-old African American woman presents to her primary care physician for not feeling well. She states she has had a cough for the past week. In addition, she also has abdominal pain and trouble focusing that has been worsening. She states that she has also lost 5 pounds recently and that her gastroesophageal reflux disease (GERD) has been very poorly controlled recently. The patient is a non-smoker and has a history of GERD for which she takes antacids. Laboratory studies are ordered and are below:

Serum:
Na+: 139 mEq/L
K+: 4.1 mEq/L
Cl-: 101 mEq/L
HCO3-: 24 mEq/L
Urea nitrogen: 12 mg/dL
Glucose: 70 mg/dL
Creatinine: 0.9 mg/dL
Ca2+: 12.5 mg/dL
Alkaline phosphatase: 35 U/L
Phosphorus: 2.0 mg/dL

Urine:
Color: amber
Nitrites: negative
Sodium: 5 mmol/24 hours
Red blood cells: 0/hpf

Which of the following is the most likely explanation of this patient's current presentation?",Increased parathyroid hormone (PTH),"['Increased parathyroid hormone (PTH)', 'Increased 1,25-dihydroxyvitamin D', 'Malignancy', 'Antacid overuse', 'Viral illness']",yes,Viral illness
"A 16-year-old Mexican female presents with symptoms of the common cold after the patient's respiratory epithelial cells were infected with Rhinovirus. Due to the presence of the virus, her respiratory epithelial cells begin producing interferon. Which is of the following is LEAST likely to be an outcome of the activation of the interferon response?","A rhinovirus-specific, cell-mediated immune response","['Decreased viral replication within the cell', 'A rhinovirus-specific, cell-mediated immune response', 'Upregulation of NK cell ligands on the infected cell', 'Activation of NK cells', 'Interferon binding to nearby uninfected epithelial cells']",yes,Interferon binding to nearby uninfected epithelial cells
"A 20-year-old man is brought to the emergency department for evaluation of an animal bite. He was hiking earlier that day when he was bitten by a raccoon. He says the attack was unprovoked and the animal ran away after the encounter. He was bitten by a stray dog when he was 11 years old and received postexposure prophylaxis for rabies at that time. His immunizations are up-to-date. His immunization record shows he received 3 doses of diphtheria-tetanus-acellular pertussis vaccine as a child and a tetanus-diphtheria-acellular pertussis vaccination at the age of 16. He is in no apparent distress. His temperature is 98.4°F (36.9°C), pulse is 72/min, respirations are 18/min, and blood pressure is 124/75 mm Hg. He has a wound on his left lower extremity with actively bleeding puncture sites. The wound is thoroughly irrigated with normal saline and cleansed with antiseptic and a bandage is applied. Which of the following is the most appropriate next step in management?",Rabies vaccination,"['No action needed', 'Tetanus booster, rabies immunoglobulin', 'Rabies immunoglobulin and vaccine', 'Tetanus booster', 'Rabies vaccination']",yes,"Tetanus booster, rabies immunoglobulin"
"A 45-year-old man visits a psychiatrist with his wife asking for help with their ongoing family problem. The couple has been married for 20 years and the last 2 months the patient is fully convinced that his wife is cheating on him. He has hired numerous private investigators, who deny any such evidence for an extramarital affair. This persistent belief has begun to stress both sides of the family. The spouse has never in the past nor currently shown any evidence of infidelity. He is still able to hold a steady job and provide for his 2 children. Which of the following statements below is a diagnostic criterion for the above condition?",Delusions must be non-bizarre,"['Daily functioning must be impaired', 'Delusions must be non-bizarre', 'Diagnosis meets criteria for another DSM-5 diagnosis', 'Must have active symptoms for 1 month followed by 6 months total duration', 'Must have 1 symptom from the core domain']",yes,Must have 1 symptom from the core domain
"A 50-year-old man presents to his primary care provider complaining of smelling abnormal odors on several occasions. He says that he smells burnt rubber even though there is nothing burning and no one around him can smell what he does. This symptom has been intermittently bothering him for the past 6 months. Also during this period, he had occasional nosebleeds. He works as a high school teacher. Although his work gets a little stressful around the exam season, he says he is able to cope well. Family history is unremarkable. He does not smoke or drink alcohol and denies the use of any medication. Physical examination reveals unilateral nasal obstruction with some dried blood in the nasal passage. What is the most likely diagnosis?",Neuroblastoma,"['Psychomotor epilepsy', 'Neuroblastoma', 'Hypnagogic hallucination', 'Substance abuse', 'Schizophrenia']",yes,Hypnagogic hallucination
"A 60-year-old man comes to the physician because of progressive pain in his right hip and lower back over the past 4 weeks. He describes the pain as dull and constant. It is worse with exertion and at night. Over the past 2 months, he has helped his son with renovating his home, which required heavy lifting and kneeling. His father died of prostate cancer. He drinks 2–3 beers daily. Vital signs are within normal limits. Examination shows localized tenderness over the right hip and groin area; range of motion is decreased. Hearing is mildly decreased on the right side. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 15 g/dL
Serum
Total protein 6.5 g/dL
Bilirubin 0.8 mg/dL
Alanine aminotransferase 20 U/L
Alkaline phosphatase (ALP) 950 U/L
γ-Glutamyltransferase (GGT) 40 U/L (N=5–50)
Calcium 9 mg/dL
Phosphate 4 mg/dL
Parathyroid hormone
450 pg/mL
An x-ray of the hip shows cortical thickening and prominent trabecular markings. Which of the following is the most likely underlying mechanism of this patient's symptoms?""",Increased rate of bone remodeling,"['Proliferation of plasma cells in the bone marrow', 'Increased rate of bone remodeling', 'Decreased bone mass with microarchitectural disruption', 'Infarction of the bone and marrow', 'Osteoblastic destruction of the bone']",yes,Increased rate of bone remodeling
"A 60-year-old female presents to her primary care physician complaining of bloating and fatigue over the past year. On examination, she has abdominal distension and ascites. Abdominal imaging reveals a mass-like lesion affecting the left ovary. A biopsy of the lesion demonstrates serous cystadenocarcinoma. She is subsequently started on a chemotherapeutic medication known to stabilize polymerized microtubules. Which of the following complications should this patient be monitored for following initiation of this medication?",Peripheral neuropathy,"['Cardiotoxicity', 'Acoustic nerve damage', 'Pulmonary fibrosis', 'Hemorrhagic cystitis', 'Peripheral neuropathy']",yes,Cardiotoxicity
"A 39-year-old man presents to the primary care physician complaining of 6 months of increasing dyspnea and non-productive cough. He has a past medical history of asthma, hypertension, obesity, and hypercholesterolemia. On examination, you notice that he takes shallow breaths and the respiratory rate is 22/min. On auscultation, you notice bibasilar rales, wheezes, and a grade 2/6 holosystolic murmur. The vital signs include: temperature 36.7°C (98.0°F), blood pressure 126/74 mm Hg, and heart rate 74/min. He then undergoes an outpatient high-resolution chest computed tomography (CT) scan which reveals bibasilar honeycombing, a calcified granuloma, and a mildly enlarged mediastinal lymph node. Which of the following medications can cause or contribute to this man’s lung disease?",Amiodarone,"['Amiodarone', 'Prednisone', 'Verapamil', 'Propranolol', 'Candesartan']",yes,Amiodarone
"A 48-year-old Caucasian woman presents to her physician for an initial visit. She has no chronic diseases. The past medical history is significant for myomectomy performed 10 years ago for a large uterine fibroid. She had 2 uncomplicated pregnancies and 2 spontaneous vaginal deliveries. Currently, she only takes oral contraceptives. She is a former smoker with a 3-pack-year history. Her last Pap test performed 2 years ago was negative. She had a normal blood glucose measurement 3 years ago. The family history is remarkable for systolic hypertension in her mother and older brother. The blood pressure is 110/80 mm Hg, heart rate is 76/min, respirations are 16/min, and oxygen saturation is 99% on room air. The patient is afebrile. The BMI is 32 kg/m2. Her physical examination is unremarkable. Which of the following preventative tests is indicated for this patient at this time?",Fasting blood glucose,"['Abdominal ultrasound', 'Chest CT', 'Pap smear', 'Fasting blood glucose', 'Colonoscopy']",yes,Pap smear
"A 25-year-old male patient presents to your clinic in significant distress. He states he has excruciating, stabbing pain around the left side of his head, and his left eye will not stop tearing. These types of headaches have been occurring for the past week every morning when he awakens and last around 60 minutes. He denies any aura, nausea, or vomiting. He denies any other past medical history. What is this patient's diagnosis?",Cluster headache,"['Migraine headache', 'Cluster headache', 'Chronic paroxysmal hemicrania (CPH)', 'Short-lasting unilateral neuralgiform headaches with conjunctival injection and tearing (SUNCT) syndrome', 'Trigeminal neuralgia']",yes,Cluster headache
"A 42-year-old gentleman presents to his primary care physician with complaints of persistent headaches and general weakness. He was recently diagnosed with severe hypertension that has been refractory to anti-hypertensive medications. Based on clinical suspicion, a basic metabolic panel is obtained which demonstrates a sodium level of 153 mg/dl and a potassium level of 2.9 mg/dl. The hormone that is the most likely cause of this patient's presentation is normally secreted by which region of the adrenal gland?",Zona Glomerulosa,"['Adrenal Capsule', 'Zona Glomerulosa', 'Zona Fasciculata', 'Zona Reticularis', 'Adrenal Medulla']",yes,Zona Glomerulosa
Multiple sclerosis is an autoimmune disease in which T-lymphocytes initiate an immune system response targeting the myelin sheaths of the central nervous system. What stage of T-lymphocyte development is the most likely to be defective in this disorder?,Negative selection,"['Positive selection', 'Negative selection', 'D-J rearrangement', 'V-DJ rearrangement', 'Isotype switching']",yes,Positive selection
"An 11-year-old boy is brought to the emergency department by his parents for confusion and fever. The patient began complaining of a headache yesterday afternoon that progressively got worse. After waking him up this morning, his mom noticed that “he seemed funny and wasn’t able to carry a conversation fully.” When asked about his past medical history, the dad claims that he’s been healthy except for 2-3 episodes of finger pain and swelling. Physical examination demonstrates a boy in moderate distress, altered mental status, and nuchal rigidity. A CSF culture reveals a gram-positive, diplococci bacteria. What characteristic would you expect in the organism most likely responsible for this patient’s symptoms?",Optochin sensitivity,"['Culture on chocolate agar with factors V and X', 'K-capsule', 'Maltose fermentation', 'Optochin sensitivity', 'Pyocyanin production']",yes,Optochin sensitivity
"A 67-year-old man comes to the physician because of numbness and burning sensation of his legs for the past week. He also complains that his stools have been larger and rougher than usual. He has non-Hodgkin lymphoma and is currently receiving chemotherapy with prednisone, vincristine, rituximab, cyclophosphamide, and doxorubicin. He has received 4 cycles of chemotherapy, and his last chemotherapy cycle was 2 weeks ago. His temperature is 37.1°C (98.8°F), pulse is 89/min, and blood pressure is 122/80 mm Hg. Examination shows decreased muscle strength in the distal muscles of the lower extremities. Ankle jerk is 1+ bilaterally and knee reflex is 2+ bilaterally. Sensation to pain, vibration, and position is decreased over the lower extremities. Serum concentrations of glucose, creatinine, electrolytes, and calcium are within the reference range. Which of the following is the most likely cause of this patient's symptoms?",Adverse effect of vincristine,"['Adverse effect of vincristine', 'Spinal cord compression', 'Paraneoplastic autoantibodies', 'Guillain-Barré syndrome', 'Charcot–Marie–Tooth disease']",yes,Adverse effect of vincristine
"A research scientist attempts to understand the influence of carbon dioxide content in blood on its oxygen binding. The scientist adds carbon dioxide to dog blood and measures the uptake of oxygen in the blood versus oxygen pressure in the peripheral tissue. He notes in one dog that with the addition of carbon dioxide with a pressure of 90 mmHg, the oxygen pressure in the peripheral tissue rose from 26 to 33 mmHg. How can this phenomenon be explained?",High partial pressure of CO2 in tissues facilitates O2 unloading in peripheral tissues,"['Binding of O2 to hemoglobin in lungs drives release of CO2 from hemoglobin', 'The sum of the partial pressures of CO2 and O2 cannot exceed a known threshold in blood', 'High partial pressure of CO2 in tissues facilitates O2 unloading in peripheral tissues', 'High partial pressure of CO2 in tissues decreases peripheral blood volume', 'High partial pressure of CO2 in tissues causes alkalemia, which is necessary for O2 unloading']",yes,High partial pressure of CO2 in tissues facilitates O2 unloading in peripheral tissues
"A 22-year-old G1P1 has an uncomplicated vaginal delivery and delivers a newborn boy at 39 + 1 weeks. The APGAR scores are 8 and 9 at 1 and 5 minutes, respectively. Shortly after the delivery, the child is put on his mother’s chest for skin-to-skin and the mother is encouraged to initiate breastfeeding. Which of the following cels produces the hormone responsible for establishing lactation during this process?",Lactotropes,"['Gonadotropes', 'Thyrotropes', 'Lactotropes', 'Corticotropes', 'Somatotropes']",yes,Lactotropes
"Please refer to the summary above to answer this question
A 63-year-old HIV-positive man comes to the physician for a routine health maintenance examination. Four years ago, he was diagnosed with HIV and was started on cART therapy. He tells the physician that he has been having difficulty adhering to his medication regimen. He has been unemployed for the past couple of years and relies on unemployment benefits to cover the costs of daily living. His father died of lymphoma at the age of 60 years. He had recently heard about the results of the study featured in the abstract and wants more information about his risk of developing DLBCL. Based on the study, which of the following is the greatest risk factor for the development of DLBCL in HIV-positive patients?""",Poor adherence to cART,"['Positive family history of cancer', 'Male sex', 'Poor adherence to cART', 'Income below $30,000 per year', 'Age over 55 years\n""']",yes,Poor adherence to cART
A 55-year-old male presents to his primary care physician complaining of right hip pain for the past eight months. He also reports progressive loss of hearing over the same time period. Radiographic imaging reveals multiple areas of expanded bony cortices and coarsened trabeculae in his right hip and skull. Laboratory analysis reveals an isolated elevation in alkaline phosphatase with normal levels of serum calcium and phosphate. Which of the following histologic findings is most likely to be seen if one of the lesions were biopsied?,Immature woven bone with collagen fibers arranged irregularly,"['Immature woven bone with collagen fibers arranged irregularly', 'Mature lamellar bone with collagen fibers arranged in lamellae', 'Chondroblasts and chondrocytes forming a cartilaginous matrix', 'Large pleomorphic cells with numerous atypical mitotic figures and “lacey” osteoid formation', 'Sheets of monotonous round blue cells']",yes,Mature lamellar bone with collagen fibers arranged in lamellae
"A 37-year-old male presents to your clinic with shortness of breath and lower extremity edema. He was born in Southeast Asia and emigrated to America ten years prior. Examination demonstrates 2+ pitting edema to the level of his knees, ascites, and bibasilar crackles, as well as an opening snap followed by a mid-to-late diastolic murmur. The patient undergoes a right heart catheterization that demonstrates a pulmonary capillary wedge pressure (PCWP) of 24 mmHg. The patient is most likely to have which of the following?",Normal or decreased left ventricular end diastolic pressure (LVEDP),"['Increased pulmonary vascular compliance', 'Decreased pulmonary artery systolic pressure (PASP)', 'Increased left ventricular end diastolic pressure (LVEDP)', 'Normal or decreased left ventricular end diastolic pressure (LVEDP)', 'Decreased transmitral gradient']",yes,Increased left ventricular end diastolic pressure (LVEDP)
"A 72-year-old man presents to his primary care physician because he has had difficulty swallowing. Specifically, he occasionally feels like he is choking while eating solids and then later regurgitates the undigested food. In addition, he says that his family has been complaining that he now has really bad breath. Based on clinical suspicion, he is sent for a barium swallow study, which reveals that there is a collection of dye posterior to the esophagus. Between which of the following muscles did the dye most likely enter the collection from the esophagus?",Cricopharyngeus and thyropharyngeus,"['Circular and longitudinal muscle of the esophagus', 'Cricopharyngeus and circular muscle of the esophagus', 'Cricopharyngeus and thyropharyngeus', 'Superior and inferior pharyngeal constrictors', 'Through 2 parts of the cricopharyngeus']",yes,Cricopharyngeus and thyropharyngeus
"A 14-year-old girl is brought to the physician because she frequently experiences cramping and pain in her legs during school sports. She is at the 10th percentile for height. Her blood pressure is 155/90 mm Hg. Examination shows a high-arched palate with maloccluded teeth and a low posterior hairline. The patient has a broad chest with widely spaced nipples. Pelvic examination shows normal external female genitalia with scant pubic hair. Without appropriate treatment, this patient is at the greatest risk of developing which of the following complications?",Osteoporosis,"['Pulmonary stenosis', 'Osteoporosis', 'Severe acne', 'Hyperphagia', 'Alzheimer disease']",yes,Osteoporosis
"A 27-year-old man is brought into the emergency department by ambulance. The patient was at an appointment to receive welfare when he began acting abnormally. The patient was denied welfare. Shortly afterwards, he no longer responded to questions and stared blankly off into space, not responding to verbal stimuli. Other than odd lip-smacking behavior, he was motionless. Several minutes later, he became responsive but seemed confused. The patient has a past medical history of drug abuse and homelessness and is not currently taking any medications. His temperature is 98.9°F (37.2°C), blood pressure is 124/78 mmHg, pulse is 90/min, respirations are 14/min, and oxygen saturation is 99% on room air. Physical exam reveals cranial nerves II-XII as grossly intact with 5/5 strength in the upper and lower extremities and a stable gait. The patient seems confused when answering questions and has trouble remembering the episode. Which of the following is the most likely diagnosis?",Complex partial seizure,"['Absence seizure', 'Complex partial seizure', 'Generalized seizure', 'Malingering', 'Transient ischemic attack']",yes,Complex partial seizure
