question,context,answer,options,llm_labeled_successfully,llm_label
Do Web-based and clinic samples of gay men living with HIV differ on self-reported physical and psychological symptoms?,"Although the Internet is commonly used to recruit samples in studies of human immunodeficiency virus (HIV)-related risk behaviors, it has not been used to measure patient-reported well-being. As the burden of long-term chronic HIV infection rises, the Internet may offer enormous potential for recruitment to research and interventions.
This study aimed to compare two samples of gay men living with HIV, one recruited via the Web and the other recruited in outpatient settings, in terms of self-reported physical and psychological symptom burden.
The Internet sample was recruited from a UK-wide Web-based survey of gay men with diagnosed HIV. Of these, 154 respondents identified themselves as resident in London and were included in this analysis. The HIV clinic sample was recruited from five HIV outpatient clinics. Of these participants, 400 gay men recruited in London clinics were included in this analysis.
The Web-based sample was younger than the clinic sample (37.3 years, SD 7.0 vs 40.9 years, SD 8.3), more likely to be in paid employment (72.8%, 99/136 vs 60.1%, 227/378), less likely to be on antiretroviral therapy (ART) (58.4%, 90/154 vs 68.0%, 266/391), and had worse mean psychological symptom burden compared to the clinic sample (mean scores: 1.61, SD 1.09 vs 1.36, SD 0.96) but similar physical symptom burden (mean scores: 0.78, SD 0.65 vs 0.70, SD 0.74). In multivariable logistic regression, for the physical symptom burden model, adjusted for age, ethnicity, employment status, and ART use, the recruitment setting (ie, Web-based vs clinic) was not significantly associated with high physical symptom score. The only variable that remained significantly associated with high physical symptom score was employment status, with those in employment being less likely to report being in the upper (worst) physical symptom tertile versus the other two tertiles (adjusted OR 0.41, 95% CI 0.28-0.62, P<.001). For the psychological symptom burden model, those recruited via the Web were significantly more likely to report being in the upper (worst) tertile (adjusted OR 2.20, 95% CI 1.41-3.44, P=.001). In addition, those in employment were less likely to report being in the upper (worst) psychological symptom tertile compared to those not in employment (adjusted OR 0.32, 95% CI 0.21-0.49, P<.001).",maybe,['yes' 'no' 'maybe'],yes,yes
"Laparoscopic-assisted ileocolic resections in patients with Crohn's disease: are abscesses, phlegmons, or recurrent disease contraindications?","Because of the inflammatory nature of Crohn's disease, ileocolic resections are often difficult to perform, especially if an abscess, phlegmon, or recurrent disease at a previous ileocolic anastomosis is present. Our goal was to determine whether the above factors are contraindications to a successful laparoscopic-assisted ileocolic resection.
Between 1992 and 1996, 46 laparoscopic-assisted ileocolic resections were attempted. Fourteen patients had an abscess or phlegmon treated with bowel rest before operation (group I), 10 patients had recurrent Crohn's disease at the previous ileocolic anastomosis (group II), and 22 patients had no previous operation and no phlegmon or abscess associated with their disease (group III). These groups were compared with each other and with 70 consecutive open ileocolic resections for Crohn's disease during the same time period (group IV).
Operative blood loss and time were greater in group IV than in groups I, II, and III (245 versus 151, 131, and 195 ml, respectively, and 202 versus 152, 144, and 139 minutes, respectively). Conversion to open procedure occurred in 5 patients (group I, 1 [7%]; group II, 2 [20%]; group III, 2 [9%]). Morbidity was highest in group IV (21% versus 0%, 10%, and 10%, respectively). Only one patient died (group IV, 1%). Length of hospital stay was longest in group IV (7.9 versus 4.8, 3.9, and 4.5 days, respectively).",no,['yes' 'no' 'maybe'],yes,no
Antral follicle assessment as a tool for predicting outcome in IVF--is it a better predictor than age and FSH?,"The purpose of this study is to determine if baseline antral follicle assessment may serve as additional information in predicting in vitro fertilization outcome.
Prospective, descriptive preliminary study of in vitro fertilization outcome. From July 1998 to July 1999, 224 patients underwent antral follicle assessment (follicle 2-6 mm in diameter) on baseline of the planned, stimulated in vitro fertilization cycle. The outcomes were analyzed with respect to antral follicle assessment (<or = 6 or>6), basal cycle day 3 follicle stimulated hormone (<or = 10 or>10 IU/L) and maternal age (<or = 35 or>35 years).
The clinical pregnancy rate was significantly higher in the group with baseline antral follicle>6 compared to that in the group with antral follicle<or = 6 (51% vs. 19%, respectively). Controlling for patient age, and basal follicle stimulated hormone, the pregnancy rate was significantly higher in the group with antral follicle>6 compared to that in the group with antral follicle<or = 6. The cancellation rate was significantly increased with advancing maternal age, elevated basal follicle stimulated hormone levels, and baseline antral follicle<or = 6. The cancellation rate was significantly higher in the group with antral follicle<or = 6 compared to that in the group with antral follicle>or = 6 (33% vs. 1%, respectively).",maybe,['yes' 'no' 'maybe'],yes,no
Is there any relation between cervical cord plaques and discopathy in patients with multiple sclerosis?,"Multiple sclerosis (MS) is the most common chronic autoimmune demyelinating disease of the central nervous system. The purpose of this study is to determine the relationship between the site of the cervical discopathy and cervical spinal cord plaque in MS patients.
This retrospective study included all patients with a definite diagnosis of MS who were treated at an outpatient clinic between September 2004 and September 2011. All patients underwent cervical magnetic resonance imaging (MRI) for primary investigation of the disease. Cervical MRI scans were evaluated for detection of any evidence of cervical discopathy and cervical MS plaques. Any correlation between the site of the MS lesions and discopathy was recorded.
From 536 patients who were involved in the study, 214 patients had both cervical discopathy and cervical cord plaques. In this group 148 (69.1% of patients) had cervical plaque at the same site of cervical discopathy. The number of patients with cervical cord plaque and discopathy at same site was significantly higher than those with plaque and discopathy at different sites (P<0.05).",yes,['yes' 'no' 'maybe'],yes,yes
Is there an intrauterine influence on obesity?,"It has been suggested that increasing obesity levels in young women lead to intrauterine environments that, in turn, stimulate increased obesity among their offspring, generating an intergenerational acceleration of obesity levels. If this mechanism is important, the association of maternal body mass index (BMI) with offspring BMI should be stronger than the association of paternal with offspring BMI.
To compare the relative strengths of association of maternal and paternal BMI with offspring BMI at age 7.5, taking into account the possible effect of non-paternity.
We compared strength of association for maternal-offspring and paternal-offspring BMI for 4654 complete parent-offspring trios in the Avon Longitudinal Study of Parents and Children (ALSPAC), using unstandardised and standardised regression analysis. We carried out a sensitivity analysis to investigate the influence of non-paternity on these associations.
The strength of association between parental BMI and offspring BMI at age 7.5 was similar for both parents. Taking into account correlations between maternal and paternal BMI, performing standardised rather than unstandardised regression and carrying out a sensitivity analysis for non-paternity emphasised the robustness of the general similarity of the associations. The associations between high parental BMI (top decile) and offspring BMI are also similar for both parents.",no,['yes' 'no' 'maybe'],yes,no
Orthostatic myoclonus: an underrecognized cause of unsteadiness?,"Recently, orthostatic myoclonus (OM) has been suggested as a cause of gait impairment and unsteadiness in neurodegenerative diseases. The aim of this study was to investigate the frequency of orthostatic myoclonus, its clinical characteristics and the underlying associated neurological disorders.
A retrospective analysis of clinical data and electromyogram surface recordings from subjects with unexplained unsteadiness/gait impairment was performed. Diagnosis of OM was made when a pattern of non-rhythmic bursts was observed (duration range 20-100 ms; bursts per second ≤16).
Among 93 subjects studied, OM was the most frequent disorder (n = 16; 17.2%), followed by orthostatic tremor (13.9%) and low frequency tremors during orthostatism (12.9%). All patients with OM complained about unsteadiness during orthostatism and/or during gait. Leg jerking was only observed by visual inspection during orthostatism in four subjects and two also presented falls. Eleven out of 16 patients (68.7%) with OM had an associated neurodegenerative disease, such as multiple system atrophy (n = 3) Parkinson's disease (n = 2), Alzheimer's disease (n = 2), mild cognitive impairment (n = 2) and normal pressure hydrocephalus (n = 2). Although four subjects showed improvement of orthostatic myoclonus with antimyoclonic treatment, the follow-up was not systematic enough to evaluate their therapeutic effect on OM.",yes,['yes' 'no' 'maybe'],yes,yes
Vaccine protection in the elderly: are Austrian seniors adequately protected by vaccinations?,"The aim of the study was to evaluate, if elderly persons are sufficiently protected against infectious diseases by vaccination.
300 elderly (>60 years) and 300 young (<35 years) persons from five Austrian cities were recruited according to the criteria of a field study. Antibody concentrations against tetanus, diphtheria, tickborne encephalitis and influenza were assessed by ELISA or by haemagglutination inhibition test. Disease and vaccination histories were recorded.
The results of the study demonstrate that protection against infectious diseases was frequently insufficient in the elderly. This was partly due to the fact that old persons were not vaccinated according to recommended strategies. However, low antibody concentration and a short duration of protective humoral immunity were also observed in many elderly persons in spite of regular vaccination. This was not only the case in frail, but also in healthy elderlies.",no,['yes' 'no' 'maybe'],yes,no
Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,"To compare adherence to follow-up recommendations for colposcopy or repeated Papanicolaou (Pap) smears for women with previously abnormal Pap smear results.
Retrospective cohort study.
Three northern California family planning clinics.
All women with abnormal Pap smear results referred for initial colposcopy and a random sample of those referred for repeated Pap smear. Medical records were located and reviewed for 90 of 107 women referred for colposcopy and 153 of 225 women referred for repeated Pap smears.
Routine clinic protocols for follow-up--telephone call, letter, or certified letter--were applied without regard to the type of abnormality seen on a Pap smear or recommended examination.
Documented adherence to follow-up within 8 months of an abnormal result. Attempts to contact the patients for follow-up, adherence to follow-up recommendations, and patient characteristics were abstracted from medical records. The probability of adherence to follow-up vs the number of follow-up attempts was modeled with survival analysis. Cox proportional hazards models were used to examine multivariate relationships related to adherence.
The rate of overall adherence to follow-up recommendations was 56.0% (136/243). Adherence to a second colposcopy was not significantly different from that to a repeated Pap smear (odds ratio, 1.40; 95% confidence interval, 0.80-2.46). The use of as many as 3 patient reminders substantially improved adherence to follow-up. Women without insurance and women attending 1 of the 3 clinics were less likely to adhere to any follow-up recommendation (hazard ratio for no insurance, 0.43 [95% confidence interval, 0.20-0.93], and for clinic, 0.35 [95% confidence interval, 0.15-0.73]).",no,['yes' 'no' 'maybe'],yes,yes
Does invasive diagnosis of nosocomial pneumonia during off-hours delay treatment?,"We examined whether invasive lung-specimen collection-to-treatment times for intensive care unit patients with suspected ventilator-associated pneumonia (VAP) differ with to the work shift during which specimens were collected. We compared weekday day shifts and off-hours (from 6:30 p.m. to 8:29 a.m. the next day for night shifts, from Saturday 1:00 p.m. to Monday 8:29 a.m. for weekends, and from 8:30 a.m. to 8:29 a.m. the following morning for public holidays).
Single-center, observational study in the intensive care unit in an academic teaching hospital.
101 patients who developed 152 episodes of bacteriologically confirmed VAP.
Of the 152 VAP episodes 66 were diagnosed during off-hours. Neither more bronchoscopy complications nor more inappropriate initial antimicrobial treatments for patients were observed between day and off-hour shifts. Indeed, the overall time from brochoalveolar lavage to antibiotic administration was shorter for off-hours than day-shifts due to shorter specimen collection-to-antibiotic prescription times, but antibiotic prescription-to-administration times were the same.",no,['yes' 'no' 'maybe'],yes,No
Is the h-index predictive of greater NIH funding success among academic radiologists?,"Despite rapid adoption of the Hirsch index (h-index) as a measure of academic success, the correlations between the h-index and other metrics of productivity remain poorly understood. The aims of this study were to determine whether h-indices were associated with greater National Institutes of Health (NIH) funding success among academic radiologists.
Using the Scopus database, h-indices were calculated for a random sample of academic radiologists with the rank of professor. Using the NIH tool Research Portfolio Online Reporting Tools Expenditures and Reports, we determined the number, classification, and total years of NIH grant funding as principal investigator for each radiologist. Differences in h-index, sorted by funding status, were determined using Wilcoxon's tests. Associations between h-index and funding status were determined using logistic regression. Significant correlations between h-index and grant metrics were determined using Spearman's ρ.
Among 210 professors of radiology, 48 (23%) secured at least one NIH grant. The mean h-index was significantly higher among individuals who secured at least one NIH grant (19.1) compared to those who did not (10.4) (P<.0001). Professors with h-indices<10 compared to those with h-indices>10 were significantly less likely to receive NIH funding (odds ratio, 0.07; P = .0321). However, h-indices>10 were not significantly predictive of greater funding. No significant relationships were observed between h-index and the number of grant awards, years of prior funding, the amounts of grant awards, or grant classification.",yes,['yes' 'no' 'maybe'],yes,no
Should general practitioners call patients by their first names?,"To assess the acceptability to patients of the use of patients' first names by doctors and doctors' first names by patients in general practice.
An administered questionnaire survey.
5 General practices in Lothian.
475 Patients consulting 30 general practitioners.
Response by patients to questionnaire on attitude to use of first names.
Most of the patients either liked (223) or did not mind (175) being called by their first names. Only 77 disliked it, most of whom were aged over 65. Most patients (324) did not, however, want to call the doctor by his or her first name.",yes,['yes' 'no' 'maybe'],yes,no
Delayed diagnosis of anorectal malformations: are current guidelines sufficient?,"Infants referred to our institution with a final diagnosis of ARM were retrospectively reviewed between 2001 and 2009. The first cohort consisted of patients that were referred between November 2001 and November 2006 with the diagnosis of an ARM that had been delayed for more than 48 h. The second cohort was those referred between December 2006 and May 2009 with whom the diagnosis of ARM had not been made within 24 h of birth.
Nineteen infants were referred with delayed diagnosis of an ARM over the 7.5 years of the study. Of 44 patients referred to our institution between December 2006 and May 2009, diagnosis of an ARM was delayed more than 24 h in 14 (32%). There was no difference in gender, birth weight, prematurity, type of malformation or presence of associated anomalies between those with timely and delayed diagnosis of their ARM. A significantly greater proportion of those with a delayed diagnosis presented with obstructive symptoms (86% vs. 27%, P<0.001), including abdominal distension (57%) and delayed passage of meconium or stool (29%). Despite undergoing neonatal examination, the diagnosis of ARM was missed in 12 patients overall.",no,['yes' 'no' 'maybe'],no,NO_LABEL
Prostate-specific antigen and free prostate-specific antigen in the early detection of prostate cancer: do combination tests improve detection?,"The combined use of free and total prostate-specific antigen (PSA) in early detection of prostate cancer has been controversial. This article systematically evaluates the discriminating capacity of a large number of combination tests.
Free and total PSA were analyzed in stored serum samples taken prior to diagnosis in 429 cases and 1,640 controls from the Physicians' Health Study. We used a classification algorithm called logic regression to search for clinically useful tests combining total and percent free PSA and receiver operating characteristic analysis and compared these tests with those based on total and complexed PSA. Data were divided into training and test subsets. For robustness, we considered 35 test-train splits of the original data and computed receiver operating characteristic curves for each test data set.
The average area under the receiver operating characteristic curve across test data sets was 0.74 for total PSA and 0.76 for the combination tests. Combination tests with higher sensitivity and specificity than PSA>4.0 ng/mL were identified 29 out of 35 times. All these tests extended the PSA reflex range to below 4.0 ng/mL. Receiver operating characteristic curve analysis indicated that the overall diagnostic performance as expressed by the area under the curve did not differ significantly for the different tests.",yes,['yes' 'no' 'maybe'],yes,no
Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,"The technique of induced sputum has allowed to subdivide asthma patients into inflammatory phenotypes according to their level of granulocyte airway infiltration. There are very few studies which looked at detailed sputum and blood cell counts in a large cohort of asthmatics divided into inflammatory phenotypes. The purpose of this study was to analyze sputum cell counts, blood leukocytes and systemic inflammatory markers in these phenotypes, and investigate how those groups compared with healthy subjects.
We conducted a retrospective cross-sectional study on 833 asthmatics recruited from the University Asthma Clinic of Liege and compared them with 194 healthy subjects. Asthmatics were classified into inflammatory phenotypes.
The total non-squamous cell count per gram of sputum was greater in mixed granulocytic and neutrophilic phenotypes as compared to eosinophilic, paucigranulocytic asthma and healthy subjects (p < 0.005). Sputum eosinophils (in absolute values and percentages) were increased in all asthma phenotypes including paucigranulocytic asthma, compared to healthy subjects (p < 0.005). Eosinophilic asthma showed higher absolute sputum neutrophil and lymphocyte counts than healthy subjects (p < 0.005), while neutrophilic asthmatics had a particularly low number of sputum macrophages and epithelial cells. All asthma phenotypes showed an increased blood leukocyte count compared to healthy subjects (p < 0.005), with paucigranulocytic asthmatics having also increased absolute blood eosinophils compared to healthy subjects (p < 0.005). Neutrophilic asthma had raised CRP and fibrinogen while eosinophilic asthma only showed raised fibrinogen compared to healthy subjects (p < 0.005).",maybe,['yes' 'no' 'maybe'],yes,No
Are failures of anterior cruciate ligament reconstruction associated with steep posterior tibial slopes?,"Recently, increasing number of literature has identified the posterior tibial slope (PTS) as one of the risk factors of primary anterior cruciate ligament (ACL) injury. However, few studies concerning the association between failure of ACL reconstruction (ACLR) and PTS have been published. The objective of this study was to explore the association between the failure of ACLR and PTS at a minimum of two years follow-up.
Two hundred and thirty eight eligible patients from June 2009 to October 2010 were identified from our database. A total of 20 failure cases of ACLR and 20 randomly selected controls were included in this retrospective study. The demographic data and the results of manual maximum side-to-side difference with KT-1000 arthrometer at 30° of knee flexion and pivot-shift test before the ACLR and at the final follow-up were collected. The medial and lateral PTSs were measured using the magnetic resonance imaging (MRI) scan, based on Hudek's measurement. A comparison of PTS between the two groups was performed.
The overall failure rate of the present study was 8.4%. Of the 40 participants, the mean medial PTS was 4.1° ± 3.2° and the mean lateral PTS was 4.6° ± 2.6°. The medial PTS of the ACLR failure group was significantly steeper than the control group (3.5° ± 2.5° vs. 6.1° ± 2.1°, P = 0.000). Similarly, the lateral PTS of the ACLR failure group was significantly steeper than the control group (2.9° ± 2.1° vs. 5.5° ± 3.0°, P = 0.006). For medial PTS ≥ 5°, the odds ratio of ACLR failure was 6.8 (P = 0.007); for lateral PTS ≥5°, the odds ratio of ACLR failure was 10.8 (P = 0.000).",yes,['yes' 'no' 'maybe'],yes,yes
A model of healing of Los Angeles grades C and D reflux oesophagitis: is there an optimal time of acid suppression for maximal healing?,"In patients with Los Angeles (LA) grade C or D oesophagitis, a positive relationship has been established between the duration of intragastric acid suppression and healing.AIM: To determine whether there is an apparent optimal time of intragastric acid suppression for maximal healing of reflux oesophagitis.
Post hoc analysis of data from a proof-of-concept, double-blind, randomized study of 134 adult patients treated with esomeprazole (10 or 40 mg od for 4 weeks) for LA grade C or D oesophagitis. A curve was fitted to pooled 24-h intragastric pH (day 5) and endoscopically assessed healing (4 weeks) data using piecewise quadratic logistic regression.
Maximal reflux oesophagitis healing rates were achieved when intragastric pH>4 was achieved for approximately 50-70% (12-17 h) of the 24-h period. Acid suppression above this threshold did not yield further increases in healing rates.",yes,['yes' 'no' 'maybe'],yes,no
Is the processing of affective prosody influenced by spatial attention?,"The present study asked whether the processing of affective prosody is modulated by spatial attention. Pseudo-words with a neutral, happy, threatening, and fearful prosody were presented at two spatial positions. Participants attended to one position in order to detect infrequent targets. Emotional prosody was task irrelevant. The electro-encephalogram (EEG) was recorded to assess processing differences as a function of spatial attention and emotional valence.
Event-related potentials (ERPs) differed as a function of emotional prosody both when attended and when unattended. While emotional prosody effects interacted with effects of spatial attention at early processing levels (<200 ms), these effects were additive at later processing stages (>200 ms).",maybe,['yes' 'no' 'maybe'],yes,yes
Ultra high risk (UHR) for psychosis criteria: are there different levels of risk for transition to psychosis?,"The ultra high risk (UHR) for psychosis criteria have been validated in a number of studies. However, it is not known whether particular UHR criteria (Attenuated Psychotic Symptoms (APS), Brief Limited Intermittent Psychotic Symptoms (BLIPS) or Trait vulnerability criteria), or combination of criteria, is associated with a higher risk of transition to psychosis. The current study investigated this issue over a 6-month follow-up period. We hypothesised that the risk of transition would increase in the following order: Trait alone<APS alone<APS+Trait<BLIPS.
Data on UHR intake criteria and transition to psychosis status at 6 months were analysed for UHR patients seen at the PACE clinic, Orygen Youth Health between January 2000 and November 2008.
A total of 928 new referrals were accepted into the PACE clinic over this period of whom 817 (88%) had baseline information available for analysis. The percentage of subjects who presented with APS, Trait and BLIPS were 83%, 27% and 4%, respectively. When the two intermediate groups (APS alone and APS+Trait) were combined, there was evidence that the risk of transition increased in the order of Trait alone<APS<BLIPS (p=0.024, adjusted analysis).",yes,['yes' 'no' 'maybe'],yes,yes
Standardizing care in medical oncology: are Web-based systems the answer?,"Medical oncology is embracing information technology to standardize care and improve patient outcomes, with a range of Web-based systems used internationally. The authors' aim was to determine the factors affecting the uptake and use of a Web-based protocol system for medical oncology in the Australian setting.
The authors conducted 50 interviews and observed medical oncology physicians, nurses, and pharmacists in their treatment setting at 6 hospitals in different geographic locations.
The Web-based system plays a major role in guiding oncology treatment across participating sites. However, its use varies according to hospital location, clinician roles, and experience. A range of issues impact on clinicians' attitudes toward and use of the Web-based system. Important factors are clinician-specific (eg, their need for autonomy and perceptions of lack of time) or environmental (eg, hospital policy on protocol use, endorsement of the system, and the availability of appropriate infrastructure, such as sufficient computers). The level of education received regarding the system was also found to be integral to its ongoing use.",maybe,['yes' 'no' 'maybe'],yes,no
Storage of vaccines in the community: weak link in the cold chain?,"To assess quality of storage of vaccines in the community.
Questionnaire survey of general practices and child health clinics, and monitoring of storage temperatures of selected refrigerators.
Central Manchester and Bradford health districts.
45 general practices and five child health clinics, of which 40 (80%) responded. Eight practices were selected for refrigeration monitoring.
Adherence to Department of Health guidelines for vaccine storage, temperature range to which vaccines were exposed over two weeks.
Of the 40 respondents, only 16 were aware of the appropriate storage conditions for the vaccines; eight had minimum and maximum thermometers but only one of these was monitored daily. In six of the eight practices selected for monitoring of refrigeration temperatures the vaccines were exposed to either subzero temperatures (three fridges) or temperatures up to 16 degrees C (three). Two of these were specialised drug storage refrigerators with an incorporated thermostat and external temperature gauges.",maybe,['yes' 'no' 'maybe'],yes,yes
Affect-regulated exercise intensity: does training at an intensity that feels 'good' improve physical health?,"Affect-regulated exercise to feel 'good' can be used to control exercise intensity amongst both active and sedentary individuals and should support exercise adherence. It is not known, however, whether affect-regulated exercise training can lead to physical health gains. The aim of this study was to examine if affect-regulated exercise to feel 'good' leads to improved fitness over the course of an 8-week training programme.
A repeated measures design (pretest-posttest) with independent groups (training and control).
20 sedentary females completed a submaximal graded exercise test and were then allocated to either a training group or control group. The training group completed two supervised sessions and one unsupervised session per week for 8 weeks. Exercise intensity was affect-regulated to feel 'good'. Following the 8 weeks of training, both groups completed a second submaximal graded exercise test.
Repeated measures analyses of variance indicated a significant increase in the time to reach ventilatory threshold in the training group (318 ± 23.7s) compared to control (248 ± 16.9s). Overall compliance to training was high (>92%). Participants in the training group exercised at intensities that would be classified as being in the lower range of the recommended guidelines (≈ 50% V˙O(2) max) for cardiovascular health.",yes,['yes' 'no' 'maybe'],yes,yes
Pulmonary valve replacement in adults late after repair of tetralogy of fallot: are we operating too late?,"The purpose of this study is to evaluate right ventricular (RV) volume and function after pulmonary valve replacement (PVR) and to address the issue of optimal surgical timing in these patients.
Chronic pulmonary regurgitation (PR) following repair of tetralogy of Fallot (TOF) leads to RV dilation and an increased incidence of sudden cardiac death in adult patients.
We studied 25 consecutive adult patients who underwent PVR for significant PR late after repair of TOF. Radionuclide angiography was performed in all at a mean of 8.2 months (+/- 8 months) before PVR and repeated at a mean of 28.0 months (+/- 22.8 months) after the operation. Right ventricular (RV) end-systolic volume (RVESV), RV end-diastolic volume (RVEDV) and RV ejection fraction (RVEF) were measured.
Mean RVEDV, RVESV and RVEF remained unchanged after PVR (227.1 ml versus 214.9 ml, p = 0.74; 157.4 ml versus 155.4 ml, p = 0.94; 35.6% versus 34.7%, p = 0.78, respectively). Of the 10 patients with RVEF>or = 0.40 before PVR, 5 patients (50%) maintained a RVEF>or = 0.40 following PVR, whereas only 2 out of 15 patients (13%) with pre-operative values<0.40 reached an RVEF>or = 0.40 postoperatively (p<0.001).",yes,['yes' 'no' 'maybe'],yes,no
Is the Distance Worth It?,"It is unclear whether traveling long distances to high-volume centers would compensate for travel burden among patients undergoing rectal cancer resection.
The purpose of this study was to determine whether operative volume outweighs the advantages of being treated locally by comparing the outcomes of patients with rectal cancer treated at local, low-volume centers versus far, high-volume centers.
This was a population-based study.
The National Cancer Database was queried for patients with rectal cancer.
Patients with stage II or III rectal cancer who underwent surgical resection between 2006 and 2012 were included.
The outcomes of interest were margins, lymph node yield, receipt of neoadjuvant chemoradiation, adjuvant chemotherapy, readmission within 30 days, 30-day and 90-day mortality, and 5-year overall survival.
A total of 18,605 patients met inclusion criteria; 2067 patients were in the long-distance/high-volume group and 1362 in the short-distance/low-volume group. The median travel distance was 62.6 miles for the long-distance/high-volume group and 2.3 miles for the short-distance/low-volume group. Patients who were younger, white, privately insured, and stage III were more likely to have traveled to a high-volume center. When controlled for patient factors, stage, and hospital factors, patients in the short-distance/low-volume group had lower odds of a lymph node yield ≥12 (OR = 0.51) and neoadjuvant chemoradiation (OR = 0.67) and higher 30-day (OR = 3.38) and 90-day mortality (OR = 2.07) compared with those in the long-distance/high-volume group. The short-distance/low-volume group had a 34% high risk of overall mortality at 5 years compared with the long-distance/high-volume group.
We lacked data regarding patient and physician decision making and surgeon-specific factors.",yes,['yes' 'no' 'maybe'],yes,no
Do cytokine concentrations in pancreatic juice predict the presence of pancreatic diseases?,"Cytokine concentration in pancreatic juice of patients with pancreatic disease is unknown. Secretin stimulation allows endoscopic collection of pancreatic juice secreted into the duodenum. We aimed to evaluate the cytokine concentrations in pancreatic juice of patients with abdominal pain to discriminate presence from absence of pancreatic disease.
From January 2003-December 2004, consecutive patients with abdominal pain compatible with pancreatic origin were enrolled. Patients underwent upper endoscopy. Intravenous secretin (0.2 mug/kg) was given immediately before scope intubation. Pancreatic juice collected from the duodenum was immediately snap-frozen in liquid nitrogen until assays were performed. Pancreatic juice levels of interleukin-8, interleukin-6, intercellular adhesion molecule 1, and transforming growth factor-beta 1 were measured by modified enzyme-linked immunosorbent assays. The final diagnosis was made by the primary gastroenterologist on the basis of medical history; laboratory, endoscopic, and imaging studies; and clinical follow-up. Fisher exact test and Kruskal-Wallis rank sum test were used for statistical analysis.
Of 130 patients screened, 118 met the inclusion criteria. Multivariate analysis revealed that only interleukin-8 was able to discriminate between normal pancreas and chronic pancreatitis (P = .011), pancreatic cancer (P = .044), and the presence of pancreatic diseases (P = .007). Individual cytokine concentrations were not significantly different in chronic pancreatitis compared with pancreatic cancer.",yes,['yes' 'no' 'maybe'],yes,yes
Does anastomotic leakage affect functional outcome after rectal resection for cancer?,"Anastomotic leakage is the most threatening early complication in sphincter-preserving rectal cancer surgery. While the oncological consequences have been well examined, only few data exist about the functional outcome.
We investigated continence function in 150 patients after curative sphincter-preserving rectal cancer surgery. Functional results were compared in 22 patients with a clinically relevant anastomotic leakage, confirmed radiologically or endoscopically, and 128 patients with uneventful recovery. Evaluation of continence function was based on the Cleveland Clinic Continence Score and was examined in all patients with anastomotic leakage and in 111 patients without complications 107+/-46 weeks postoperatively. Additionally, 14 patients with anastomotic leakage and 58 patients with uneventful recovery underwent anorectal manometry 26+/-15 weeks postoperatively.
The continence score in patients after anastomotic leakage did not differ significantly from that in patients without complications. Sphincter function was similar. Maximum tolerable volume and rectal compliance were slightly but not significantly worse after leakage.",no,['yes' 'no' 'maybe'],yes,no
Does short-term treatment with proton pump inhibitors cause rebound aggravation of symptoms?,"Rebound acid hypersecretion might occur after treatment with proton pump inhibitors. This study looks for a rebound aggravation of symptoms after short-term treatment with lansoprazole.STUDY: Sixty-two patients (19 men and 43 women; mean age, 54 years; range, 32-77 years) with heartburn and regurgitation and normal upper endoscopy findings were studied in a randomized, double-blind, placebo-controlled trial with a crossover design. There were two 5-day treatment periods with lansoprazole 60 mg once daily or placebo in random order, separated by a 9-day washout period. Reflux, total, and antacid scores were calculated for each of the treatment periods. Higher scores during the placebo period in the group given lansoprazole first than in the group given placebo first indicated a rebound aggravation of symptoms.
The mean symptom scores during the placebo period in the groups given lansoprazole first and placebo first were as follows: reflux score, 21.5 and 17.6, respectively (not significant); total score, 11.2 and 10.3, respectively (not significant); and antacid score, 8.2 and 7.2, respectively (not significant).",no,['yes' 'no' 'maybe'],yes,no
Are there gender differences in the reasons why African Americans delay in seeking medical help for symptoms of an acute myocardial infarction?,"To identify gender differences in delay time and the reasons why African Americans delay in seeking medical care for symptoms of acute myocardial infarction (AMI).
Cross-sectional.
Five hospitals in the San Francisco and East Bay areas.
Sixty-one African American men and women diagnosed with an AMI.
Prehospital delay time.
Median delay time was longer for women compared to men (4.4 hours vs 3.5 hours), although the difference was not significant. Single women delayed longer than single men (P = .03), and women who were alone when symptoms began delayed longer than women with someone (P = .03). Women who received advice to seek help or call 911 upon symptom onset had shorter delays compared to women who were not advised to call 911 (P = .01). Men at home delayed longer than men who experienced their symptoms outside the home (P = .01). Men with emergency room insurance delayed longer than men without emergency room insurance (P = .03), and men who took an ambulance to the hospital had shorter delay times than men who took other means of transportation (P = .04).",yes,['yes' 'no' 'maybe'],yes,yes
Is low birth weight a risk indicator for congenital cytomegalovirus infection?,"Congenital cytomegalovirus infection is currently the leading cause of congenital infection in 0.2-2.2% of live births worldwide leading to variable serious sequalae. The aim of the study was to determine if low birth weight is an indicator of CMV congenital infection evidenced by detecting CMV-DNA in umbilical cord blood at the time of delivery.
CMV-IgG and IgM antibodies and CMV-DNAemia were assessed in umbilical cord blood of two hundreds newborns, one hundred of whom had birth weight<or = 2700 gram and/or head circumference<or = 32 cm.
CMV-IgM was not detected, while CMV-IgG was positive in 80-90% of the two hundreds tested newborns. CMV-DNA was detected in four out of the 200 newborns. One of them was over the adopted weight limit (>2700 gram).",no,['yes' 'no' 'maybe'],yes,no
