label,entity1,entity2,Title_entity1,Category_entity1,Brand_entity1,ModelNo_entity1,Price_entity1,Title_entity2,Category_entity2,Brand_entity2,ModelNo_entity2,Price_entity2
not duplicate,Title: siig 2.5 sata superspeed usb 3.0 hard drive enclosure; Category: electronics - general; Brand: siig; ModelNo: ju-sa0912-s1; Price: 20.39;,Title: aluratek superspeed usb 3.0 2.5-inch 3.5-inch sata hard drive docking enclosure ahddu200f; Category: computers accessories; Brand: aluratek; ModelNo: ahddu200f; Price: 34.84;,siig 2.5 sata superspeed usb 3.0 hard drive enclosure,electronics - general,siig,ju-sa0912-s1,20.39,aluratek superspeed usb 3.0 2.5-inch 3.5-inch sata hard drive docking enclosure ahddu200f,computers accessories,aluratek,ahddu200f,34.84
not duplicate,Title: brother tn450 black toner cartridge high yield toner; Category: printers; Brand: brother; ModelNo: tn450; Price: 48.88;,Title: brother tn550 3 500 yld standard yield toner cartridge; Category: laser printer toner; Brand: brother; ModelNo: tn550; Price: 47.49;,brother tn450 black toner cartridge high yield toner,printers,brother,tn450,48.88,brother tn550 3 500 yld standard yield toner cartridge,laser printer toner,brother,tn550,47.49
not duplicate,Title: amzer anti-glare screen protector for ipad 2; Category: mp3 accessories; Brand: amzer; ModelNo: 90786; Price: 13.88;,Title: ag2 anti-glare screen protector for 10.1 widescreen netbooks; Category: screen protectors; Brand: green; ModelNo: rt-spf10101w / m; Price: 8.99;,amzer anti-glare screen protector for ipad 2,mp3 accessories,amzer,90786,13.88,ag2 anti-glare screen protector for 10.1 widescreen netbooks,screen protectors,green,rt-spf10101w / m,8.99
not duplicate,Title: verbatim 95003 3x dvd-ram double-sided media; Category: mp3 accessories; Brand: verbatim; ModelNo: 95003; Price: 13.88;,Title: verbatim 2.8 gb 2x double-sided mini dvd-ram bundle 3 discs; Category: blank media; Brand: verbatim; ModelNo: 95429; Price: 19.8;,verbatim 95003 3x dvd-ram double-sided media,mp3 accessories,verbatim,95003,13.88,verbatim 2.8 gb 2x double-sided mini dvd-ram bundle 3 discs,blank media,verbatim,95429,19.8
not duplicate,Title: weyerhaeuser company multiuse premium paper 98 brightness 24lb 8-1 2 x 14 white 500 sheets ream; Category: stationery & office machinery; Brand: nan; ModelNo: 85781; Price: 12.47;,Title: new-domtar 85283 - colorprint premium paper 98 brightness 28lb 8-1 2 x11 white 500 sheets ream - dmr85283; Category: storage presentation materials; Brand: domtar; ModelNo: nan; Price: 33.49;,weyerhaeuser company multiuse premium paper 98 brightness 24lb 8-1 2 x 14 white 500 sheets ream,stationery & office machinery,nan,85781,12.47,new-domtar 85283 - colorprint premium paper 98 brightness 28lb 8-1 2 x11 white 500 sheets ream - dmr85283,storage presentation materials,domtar,nan,33.49
duplicate,Title: inland pro iphone and ipod 3-in-1 charging kit; Category: mp3 accessories; Brand: inland; ModelNo: 08521; Price: 9.84;,Title: inland pro iphone and ipod 3-in-one charging kit; Category: chargers; Brand: inland; ModelNo: 08521; Price: 9.84;,inland pro iphone and ipod 3-in-1 charging kit,mp3 accessories,inland,08521,9.84,inland pro iphone and ipod 3-in-one charging kit,chargers,inland,08521,9.84
not duplicate,Title: crown ecostep mat 36 x 60 midnight blue; Category: home care; Brand: crown; ModelNo: et0035mb; Price: 59.97;,Title: crown et0035ch - ecostep mat 36 x 60 charcoal; Category: connectors adapters; Brand: crown; ModelNo: nan; Price: nan;,crown ecostep mat 36 x 60 midnight blue,home care,crown,et0035mb,59.97,crown et0035ch - ecostep mat 36 x 60 charcoal,connectors adapters,crown,nan,nan
not duplicate,Title: da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format; Category: electronics - general; Brand: da-lite; ModelNo: 23096; Price: 10048.99;,Title: da-lite 27673 da-glas self trimming rear projection screen - 96 x 96 av format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format,electronics - general,da-lite,23096,10048.99,da-lite 27673 da-glas self trimming rear projection screen - 96 x 96 av format,projection screens,da-lite,nan,nan
duplicate,Title: lexmark 1382920 toner 3000 page-yield black; Category: stationery & office machinery; Brand: lexmark; ModelNo: 1382920; Price: 270.9;,Title: new-1382920 toner 3000 page yield black case pack 1 - 516495; Category: computer accessories; Brand: lexmark; ModelNo: nan; Price: 574.19;,lexmark 1382920 toner 3000 page-yield black,stationery & office machinery,lexmark,1382920,270.9,new-1382920 toner 3000 page yield black case pack 1 - 516495,computer accessories,lexmark,nan,574.19
not duplicate,Title: casio exilim ex-zs10 14.1 mp digital camera blue w 5x optical zoom 2.7 lcd display; Category: digital cameras; Brand: casio; ModelNo: ex-zs10be; Price: 120.0;,Title: casio exilim ex-z16 12 mp digital camera with 3x zoom and 2.7-inch lcd red; Category: point shoot digital cameras; Brand: casio; ModelNo: ex-z16rd; Price: 71.38;,casio exilim ex-zs10 14.1 mp digital camera blue w 5x optical zoom 2.7 lcd display,digital cameras,casio,ex-zs10be,120.0,casio exilim ex-z16 12 mp digital camera with 3x zoom and 2.7-inch lcd red,point shoot digital cameras,casio,ex-z16rd,71.38
not duplicate,Title: canon cli-226 black ink tank; Category: printers; Brand: canon; ModelNo: 4546b001; Price: 13.97;,Title: canon cli-226 gray ink tank 4550b001; Category: inkjet printer ink; Brand: canon; ModelNo: 4550b001; Price: 13.97;,canon cli-226 black ink tank,printers,canon,4546b001,13.97,canon cli-226 gray ink tank 4550b001,inkjet printer ink,canon,4550b001,13.97
not duplicate,Title: vivitar 50-in-1 card reader writer; Category: usb drives; Brand: vivitar; ModelNo: viv-rw-50; Price: 11.98;,Title: vivitar microsd card reader writer viv-rw-misd; Category: memory card readers; Brand: vivitar; ModelNo: viv-rw-misd; Price: 4.54;,vivitar 50-in-1 card reader writer,usb drives,vivitar,viv-rw-50,11.98,vivitar microsd card reader writer viv-rw-misd,memory card readers,vivitar,viv-rw-misd,4.54
not duplicate,Title: da-lite pearlescent tensioned advantage electrol - av format 6 x 8 diagonal; Category: electronics - general; Brand: da-lite; ModelNo: 84381; Price: 2532.99;,Title: hc da-mat tensioned advantage electrol - wide format size wide 94 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite pearlescent tensioned advantage electrol - av format 6 x 8 diagonal,electronics - general,da-lite,84381,2532.99,hc da-mat tensioned advantage electrol - wide format size wide 94 diagonal,projection screens,da-lite,nan,nan
not duplicate,Title: amzer super clear screen protector with cleaning cloth for blackberry playbook 6pk; Category: electronics - general; Brand: amzer; ModelNo: amz90548; Price: 9.88;,Title: targus screen protector with bubble-free adhesive for blackberry playbook tablet awv1230us clear; Category: screen protectors; Brand: targus; ModelNo: awv1230us; Price: 19.99;,amzer super clear screen protector with cleaning cloth for blackberry playbook 6pk,electronics - general,amzer,amz90548,9.88,targus screen protector with bubble-free adhesive for blackberry playbook tablet awv1230us clear,screen protectors,targus,awv1230us,19.99
not duplicate,Title: energizer er-p240 cordless phone battery; Category: computers; Brand: energizer; ModelNo: nan; Price: 11.88;,Title: energizer er-p290 2.4-volt cordless phone battery; Category: batteries; Brand: energizer; ModelNo: er-p290; Price: 7.32;,energizer er-p240 cordless phone battery,computers,energizer,nan,11.88,energizer er-p290 2.4-volt cordless phone battery,batteries,energizer,er-p290,7.32
not duplicate,Title: da-lite da-glas standard rear projection screen 72 x 96 video format; Category: electronics - general; Brand: da-lite; ModelNo: 27639; Price: 4448.99;,Title: da-plex standard rear projection screen - 81 x 108 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 5115.0;,da-lite da-glas standard rear projection screen 72 x 96 video format,electronics - general,da-lite,27639,4448.99,da-plex standard rear projection screen - 81 x 108 video format,projection screens,da-lite,nan,5115.0
not duplicate,Title: logitech wireless mouse m315 silver; Category: mice; Brand: logitech; ModelNo: 910002537; Price: 19.88;,Title: logitech wireless mouse m310 red tendrills; Category: mice; Brand: logitech; ModelNo: 910-001920; Price: 28.51;,logitech wireless mouse m315 silver,mice,logitech,910002537,19.88,logitech wireless mouse m310 red tendrills,mice,logitech,910-001920,28.51
not duplicate,Title: corsair cm2x2048-6400c5 xms2 2gb pc2-6400 800mhz 240-pin ddr2 cl5 dual channel desktop memory kit; Category: memory; Brand: corsair; ModelNo: cm2x2048-6400c5; Price: 40.82;,Title: corsair xms 2gb 2 x 1gb pc3200 400mhz 184-pin ddr desktop memory kit - twinx2048-3200c2pt; Category: memory; Brand: corsair; ModelNo: twinx2048-3200c2pt; Price: nan;,corsair cm2x2048-6400c5 xms2 2gb pc2-6400 800mhz 240-pin ddr2 cl5 dual channel desktop memory kit,memory,corsair,cm2x2048-6400c5,40.82,corsair xms 2gb 2 x 1gb pc3200 400mhz 184-pin ddr desktop memory kit - twinx2048-3200c2pt,memory,corsair,twinx2048-3200c2pt,nan
not duplicate,Title: epson t020201 color ink cartridge; Category: printers; Brand: epson; ModelNo: t020201; Price: 27.0;,Title: epson t027201 inkjet cartridge color; Category: inkjet printer ink; Brand: epson; ModelNo: t027201; Price: 21.49;,epson t020201 color ink cartridge,printers,epson,t020201,27.0,epson t027201 inkjet cartridge color,inkjet printer ink,epson,t027201,21.49
not duplicate,Title: wintec filemate 4gb compactflash memory card; Category: usb drives; Brand: wintec; ModelNo: 3fmcf4gb-r; Price: 15.98;,Title: verbatim compactflash 4gb memory card 95188; Category: memory cards; Brand: verbatim; ModelNo: 95188; Price: 14.96;,wintec filemate 4gb compactflash memory card,usb drives,wintec,3fmcf4gb-r,15.98,verbatim compactflash 4gb memory card 95188,memory cards,verbatim,95188,14.96
not duplicate,Title: memorex color slim cd jewel cases - 50 pack; Category: electronics - general; Brand: memorex; ModelNo: 3202-1950; Price: 19.88;,Title: memorex 50-pack slim cd dvd jewel cases 5mm clear; Category: bags cases; Brand: memorex; ModelNo: 32021951; Price: 13.65;,memorex color slim cd jewel cases - 50 pack,electronics - general,memorex,3202-1950,19.88,memorex 50-pack slim cd dvd jewel cases 5mm clear,bags cases,memorex,32021951,13.65
not duplicate,Title: da-lite da-view thru-the-wall rear projection screen - 58 x 104 hdtv format; Category: electronics - general; Brand: da-lite; ModelNo: 23074; Price: 22472.99;,Title: da-lite 27565 da-plex deluxe rear projection screen - 72 x 96 video format; Category: nan; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite da-view thru-the-wall rear projection screen - 58 x 104 hdtv format,electronics - general,da-lite,23074,22472.99,da-lite 27565 da-plex deluxe rear projection screen - 72 x 96 video format,nan,da-lite,nan,nan
not duplicate,Title: d-link wireless access point; Category: computers; Brand: d-link; ModelNo: dwl-2100ap; Price: 119.88;,Title: asus wl330ge wireless pocket access point; Category: audio video accessories; Brand: asus; ModelNo: wl-330ge; Price: 43.99;,d-link wireless access point,computers,d-link,dwl-2100ap,119.88,asus wl330ge wireless pocket access point,audio video accessories,asus,wl-330ge,43.99
not duplicate,Title: xfx ati radeon 5670 hd pci-express 1gb ddr3 graphics card; Category: electronics - general; Brand: xfx; ModelNo: hd567xznl3; Price: 91.88;,Title: xfx ati radeon hd 5670 1 gb ddr5 dvi hdmi displayport pci-express video card hd567xznf3; Category: computers accessories; Brand: xfx; ModelNo: hd567xznf3; Price: 79.99;,xfx ati radeon 5670 hd pci-express 1gb ddr3 graphics card,electronics - general,xfx,hd567xznl3,91.88,xfx ati radeon hd 5670 1 gb ddr5 dvi hdmi displayport pci-express video card hd567xznf3,computers accessories,xfx,hd567xznf3,79.99
not duplicate,Title: epson 1500 hours 200w uhe projector lamp elplp12; Category: monitors; Brand: epson; ModelNo: elplp12; Price: 438.84;,Title: epson replacement lamp - 200w uhe projector lamp - 2000 hour high brightness mode 3000 hour low brightness mode; Category: nan; Brand: epson; ModelNo: v13h010l33; Price: 268.7;,epson 1500 hours 200w uhe projector lamp elplp12,monitors,epson,elplp12,438.84,epson replacement lamp - 200w uhe projector lamp - 2000 hour high brightness mode 3000 hour low brightness mode,nan,epson,v13h010l33,268.7
not duplicate,Title: da-lite high power model b manual screen with csr - 84 x 84 av format; Category: electronics - general; Brand: da-lite; ModelNo: 85303; Price: 372.99;,Title: high contrast matte white designer contour manual screen with csr - av format size 60 x 60; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite high power model b manual screen with csr - 84 x 84 av format,electronics - general,da-lite,85303,372.99,high contrast matte white designer contour manual screen with csr - av format size 60 x 60,projection screens,da-lite,nan,nan
not duplicate,Title: v7 5 cat6 snagless molded network patch cable red; Category: electronics - general; Brand: v7; ModelNo: v7n2c6-05f-reds; Price: 4.88;,Title: v7 cat5e snagless molded network patch cable rj45 male to male red 25-feet v7n3c5e-25f-reds; Category: ethernet cables; Brand: v7; ModelNo: v7n3c5e-25f-reds; Price: 5.23;,v7 5 cat6 snagless molded network patch cable red,electronics - general,v7,v7n2c6-05f-reds,4.88,v7 cat5e snagless molded network patch cable rj45 male to male red 25-feet v7n3c5e-25f-reds,ethernet cables,v7,v7n3c5e-25f-reds,5.23
not duplicate,Title: da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format; Category: electronics - general; Brand: da-lite; ModelNo: 23077; Price: 11385.99;,Title: da-plex base rear projection screen - 43 1 4 x 57 3 4 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 1669.99;,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-plex base rear projection screen - 43 1 4 x 57 3 4 video format,projection screens,da-lite,nan,1669.99
duplicate,Title: prince of persia pc; Category: software; Brand: encore; ModelNo: 21191; Price: 10.88;,Title: prince of persia jc cs; Category: audio video accessories; Brand: encore; ModelNo: 21191; Price: 12.54;,prince of persia pc,software,encore,21191,10.88,prince of persia jc cs,audio video accessories,encore,21191,12.54
not duplicate,Title: da-lite da-glas standard rear projection screen 81 x 108 video format; Category: electronics - general; Brand: da-lite; ModelNo: 27917; Price: 5391.99;,Title: da-glas self trimming rear projection screen - 70 x 70 av format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 3127.99;,da-lite da-glas standard rear projection screen 81 x 108 video format,electronics - general,da-lite,27917,5391.99,da-glas self trimming rear projection screen - 70 x 70 av format,projection screens,da-lite,nan,3127.99
not duplicate,Title: pioneer 5.25 2-way speakers 35w; Category: car stereos; Brand: pioneer; ModelNo: ts-d1302r; Price: 136.0;,Title: pioneer ts-g4641r 4-inch x 6-inch 2-way speakers; Category: coaxial speakers; Brand: pioneer; ModelNo: ts-g4641r; Price: 31.99;,pioneer 5.25 2-way speakers 35w,car stereos,pioneer,ts-d1302r,136.0,pioneer ts-g4641r 4-inch x 6-inch 2-way speakers,coaxial speakers,pioneer,ts-g4641r,31.99
not duplicate,Title: panasonic kx-tga6645b dect 6.0 plus expandable digital cordless answering system with 5 handsets; Category: electronics - general; Brand: panasonic; ModelNo: kx-tg6645b; Price: 150.0;,Title: motorola dect 6.0 cordless phone with 2 handsets digital answering system and dect 6.0 headset l903; Category: cordless telephones; Brand: motorola; ModelNo: l903; Price: 74.82;,panasonic kx-tga6645b dect 6.0 plus expandable digital cordless answering system with 5 handsets,electronics - general,panasonic,kx-tg6645b,150.0,motorola dect 6.0 cordless phone with 2 handsets digital answering system and dect 6.0 headset l903,cordless telephones,motorola,l903,74.82
not duplicate,Title: hp laserjet 53x black print cartridge; Category: printers; Brand: hp; ModelNo: q7553x; Price: 164.84;,Title: hp color laserjet cc530a dual pack black print cartridges cc530ad dual pack; Category: printer ink toner; Brand: hp; ModelNo: cc530ad; Price: 141.87;,hp laserjet 53x black print cartridge,printers,hp,q7553x,164.84,hp color laserjet cc530a dual pack black print cartridges cc530ad dual pack,printer ink toner,hp,cc530ad,141.87
not duplicate,Title: sigma 18-250mm zoom lens for nikon digital slr cameras 880306; Category: camera and camcorder accessories; Brand: sigma; ModelNo: 880306; Price: 478.0;,Title: sigma 10-20mm f 4-5 .6 ex dc hsm lens for canon digital slr cameras; Category: accessories; Brand: sigma; ModelNo: b0007u00x0; Price: nan;,sigma 18-250mm zoom lens for nikon digital slr cameras 880306,camera and camcorder accessories,sigma,880306,478.0,sigma 10-20mm f 4-5 .6 ex dc hsm lens for canon digital slr cameras,accessories,sigma,b0007u00x0,nan
not duplicate,Title: verbatim store n go superspeed usb 3.0 portable hard drive 500gb; Category: hard drives; Brand: verbatim; ModelNo: 97397; Price: 69.98;,Title: verbatim usb store n go memory drive 8gb; Category: computer accessories; Brand: verbatim; ModelNo: 95507; Price: 15.4;,verbatim store n go superspeed usb 3.0 portable hard drive 500gb,hard drives,verbatim,97397,69.98,verbatim usb store n go memory drive 8gb,computer accessories,verbatim,95507,15.4
not duplicate,Title: dane-elec 8gb high-speed compact flash memory card; Category: usb drives; Brand: dane-elec; ModelNo: dacf3008gc; Price: 44.88;,Title: dane-elec high speed 300x 4 gb usb 2.0 compact flash card udma da-cf30-04g-c; Category: blank media; Brand: dane-elec; ModelNo: da-cf30-04g-c; Price: 17.99;,dane-elec 8gb high-speed compact flash memory card,usb drives,dane-elec,dacf3008gc,44.88,dane-elec high speed 300x 4 gb usb 2.0 compact flash card udma da-cf30-04g-c,blank media,dane-elec,da-cf30-04g-c,17.99
duplicate,Title: sony vf67cpam circular polarizing filter for 67mm dslr camera lens; Category: camera and camcorder accessories; Brand: sony; ModelNo: vf67cpam; Price: 116.0;,Title: sony alpha vf67cpam circular polarizing filter black; Category: filters; Brand: sony; ModelNo: vf67cpam; Price: 110.1;,sony vf67cpam circular polarizing filter for 67mm dslr camera lens,camera and camcorder accessories,sony,vf67cpam,116.0,sony alpha vf67cpam circular polarizing filter black,filters,sony,vf67cpam,110.1
not duplicate,Title: roocase multi-angle leather case for lg g-slate 8.9-inch 4g tablet; Category: electronics - general; Brand: roocase; ModelNo: 222052; Price: 35.99;,Title: roocase ultra slim black leather case cover with stand for lg g-slate 8.9-inch 4g android tablet wi-fi 4g; Category: cases sleeves; Brand: roocase; ModelNo: nan; Price: 32.93;,roocase multi-angle leather case for lg g-slate 8.9-inch 4g tablet,electronics - general,roocase,222052,35.99,roocase ultra slim black leather case cover with stand for lg g-slate 8.9-inch 4g android tablet wi-fi 4g,cases sleeves,roocase,nan,32.93
not duplicate,Title: da-lite high power advantage manual with csr - hdtv format 133 diagonal; Category: electronics - general; Brand: da-lite; ModelNo: 85742; Price: 1267.99;,Title: da-lite advantage manual with csr - projection screen - 1 1 - high power; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 709.95;,da-lite high power advantage manual with csr - hdtv format 133 diagonal,electronics - general,da-lite,85742,1267.99,da-lite advantage manual with csr - projection screen - 1 1 - high power,projection screens,da-lite,nan,709.95
not duplicate,Title: da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format; Category: electronics - general; Brand: da-lite; ModelNo: 27655; Price: 1752.99;,Title: da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format; Category: projection screens; Brand: da-lite; ModelNo: 23077; Price: 9258.99;,da-lite da-glas deluxe rear projection screen - 40 1 4 x 53 3 4 video format,electronics - general,da-lite,27655,1752.99,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,projection screens,da-lite,23077,9258.99
not duplicate,Title: sharpie retractable fine point permanent markers; Category: stationery & office machinery; Brand: sharpie; ModelNo: 32760; Price: 5.99;,Title: sharpie 30078 - permanent markers fine point assorted 8 set; Category: home security systems; Brand: sharpie; ModelNo: nan; Price: nan;,sharpie retractable fine point permanent markers,stationery & office machinery,sharpie,32760,5.99,sharpie 30078 - permanent markers fine point assorted 8 set,home security systems,sharpie,nan,nan
not duplicate,Title: da-lite da-glas unframed rear projection screen - 43 1 4 x 57 3 4 video format; Category: electronics - general; Brand: da-lite; ModelNo: 27602; Price: 920.99;,Title: da-glas base rear projection screen - 36 x 48 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 1199.99;,da-lite da-glas unframed rear projection screen - 43 1 4 x 57 3 4 video format,electronics - general,da-lite,27602,920.99,da-glas base rear projection screen - 36 x 48 video format,projection screens,da-lite,nan,1199.99
not duplicate,Title: lexmark e450h11a toner 11000 page-yield black; Category: printers; Brand: lexmark; ModelNo: e450h11a; Price: 248.27;,Title: e260a21a toner 3500 page-yield black; Category: inkjet printer ink; Brand: lexmark; ModelNo: nan; Price: 160.71;,lexmark e450h11a toner 11000 page-yield black,printers,lexmark,e450h11a,248.27,e260a21a toner 3500 page-yield black,inkjet printer ink,lexmark,nan,160.71
duplicate,Title: buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1 .0 tl r1; Category: networking; Brand: buffalo technology; ModelNo: lswx10tlr1; Price: 192.63;,Title: buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1 .0 tl r1; Category: network attached storage; Brand: buffalo technology; ModelNo: ls-wx1 .0 tl/r1; Price: 179.99;,buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1 .0 tl r1,networking,buffalo technology,lswx10tlr1,192.63,buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1 .0 tl r1,network attached storage,buffalo technology,ls-wx1 .0 tl/r1,179.99
not duplicate,Title: griffin technology outfit gloss ipod touch 4g black; Category: mp3 accessories; Brand: griffin technology; ModelNo: gb01967; Price: 24.99;,Title: griffin technology elan form graphite for ipod touch 4g ice; Category: cases; Brand: griffin technology; ModelNo: gb01945; Price: 3.99;,griffin technology outfit gloss ipod touch 4g black,mp3 accessories,griffin technology,gb01967,24.99,griffin technology elan form graphite for ipod touch 4g ice,cases,griffin technology,gb01945,3.99
not duplicate,Title: sylvania 4gb touch video mp3 player black; Category: mp3; Brand: sylvania; ModelNo: smpk4230-black; Price: 35.0;,Title: rca 4gb flash mp3 player m3904 with video playback - black; Category: mp3 players; Brand: rca; ModelNo: nan; Price: 49.68;,sylvania 4gb touch video mp3 player black,mp3,sylvania,smpk4230-black,35.0,rca 4gb flash mp3 player m3904 with video playback - black,mp3 players,rca,nan,49.68
not duplicate,Title: iogear 2-port miniview micro usb plus kvm switch; Category: networking; Brand: iogear; ModelNo: gcs632uw6; Price: 37.57;,Title: iogear 8-port miniview ultra kvm switch gcs1758; Category: kvm switches; Brand: iogear; ModelNo: gcs1758; Price: 248.99;,iogear 2-port miniview micro usb plus kvm switch,networking,iogear,gcs632uw6,37.57,iogear 8-port miniview ultra kvm switch gcs1758,kvm switches,iogear,gcs1758,248.99
not duplicate,Title: quartet magnetic dry-erase board mahogany frame; Category: stationery & office machinery; Brand: quartet; ModelNo: 2544m; Price: 419.0;,Title: quartet m4831 - magnetic dry erase board painted steel 48 x 31 white aluminum frame; Category: printers; Brand: quartet; ModelNo: nan; Price: nan;,quartet magnetic dry-erase board mahogany frame,stationery & office machinery,quartet,2544m,419.0,quartet m4831 - magnetic dry erase board painted steel 48 x 31 white aluminum frame,printers,quartet,nan,nan
not duplicate,Title: xfx amd radeon hd 6950 1gb ddr5 graphics card; Category: electronics - general; Brand: xfx; ModelNo: hd695xzndc; Price: 269.82;,Title: radeon xfx hd 6970 2 gb graphics card; Category: graphics cards; Brand: xfx; ModelNo: hd697acnfc; Price: 349.99;,xfx amd radeon hd 6950 1gb ddr5 graphics card,electronics - general,xfx,hd695xzndc,269.82,radeon xfx hd 6970 2 gb graphics card,graphics cards,xfx,hd697acnfc,349.99
not duplicate,Title: da-lite da-glas deluxe rear projection screen - 50 x 50 av format; Category: electronics - general; Brand: da-lite; ModelNo: 27647; Price: 1919.99;,Title: da-glas base rear projection screen - 70 x 70 av format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 2622.99;,da-lite da-glas deluxe rear projection screen - 50 x 50 av format,electronics - general,da-lite,27647,1919.99,da-glas base rear projection screen - 70 x 70 av format,projection screens,da-lite,nan,2622.99
not duplicate,Title: coby 8gb video mp3 player black; Category: mp3; Brand: coby; ModelNo: mp727-8gblk; Price: 59.88;,Title: sansa fuze 8 gb mp3 player black; Category: mp3 players; Brand: sandisk; ModelNo: sdmx20r-008gk-a57; Price: 63.99;,coby 8gb video mp3 player black,mp3,coby,mp727-8gblk,59.88,sansa fuze 8 gb mp3 player black,mp3 players,sandisk,sdmx20r-008gk-a57,63.99
not duplicate,Title: da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format; Category: electronics - general; Brand: da-lite; ModelNo: 23077; Price: 11385.99;,Title: da-plex standard rear projection screen - 96 x 96 av format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 5912.99;,da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,electronics - general,da-lite,23077,11385.99,da-plex standard rear projection screen - 96 x 96 av format,projection screens,da-lite,nan,5912.99
duplicate,Title: pioneer cdx-p680 6-disc cd changer; Category: car stereos; Brand: pioneer; ModelNo: cdx-p680; Price: 218.0;,Title: pioneer cdx-p680 6-disc cd changer; Category: stereos; Brand: pioneer; ModelNo: cdx-p680; Price: nan;,pioneer cdx-p680 6-disc cd changer,car stereos,pioneer,cdx-p680,218.0,pioneer cdx-p680 6-disc cd changer,stereos,pioneer,cdx-p680,nan
not duplicate,Title: da-lite da-mat tensioned advantage electrol - av format 60 x 60; Category: electronics - general; Brand: da-lite; ModelNo: 84367; Price: 2022.99;,Title: hc cinema perf tensioned advantage deluxe electrol - hdtv format size 92 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 4200.0;,da-lite da-mat tensioned advantage electrol - av format 60 x 60,electronics - general,da-lite,84367,2022.99,hc cinema perf tensioned advantage deluxe electrol - hdtv format size 92 diagonal,projection screens,da-lite,nan,4200.0
not duplicate,Title: cables unlimited 3 high-speed hdmi cable black; Category: tv accessories; Brand: cables unlimited; ModelNo: pcm-2295-03; Price: 10.88;,Title: cables unlimited pcm-2299-06 high speed hdmi cable with ethernet 6 feet black; Category: hdmi cables; Brand: cables unlimited; ModelNo: pcm-2299-06; Price: 9.27;,cables unlimited 3 high-speed hdmi cable black,tv accessories,cables unlimited,pcm-2295-03,10.88,cables unlimited pcm-2299-06 high speed hdmi cable with ethernet 6 feet black,hdmi cables,cables unlimited,pcm-2299-06,9.27
not duplicate,Title: lexmark t650h11a black high-yield toner print cartridge; Category: printers; Brand: lexmark; ModelNo: t650h11a; Price: 565.2;,Title: tn360 compatible high yield black toner cartridge; Category: printer ink toner; Brand: compatible; ModelNo: tn2120; Price: 14.95;,lexmark t650h11a black high-yield toner print cartridge,printers,lexmark,t650h11a,565.2,tn360 compatible high yield black toner cartridge,printer ink toner,compatible,tn2120,14.95
not duplicate,Title: da-lite holoscreen rear projection screen - 22 x 33 3 4 video format; Category: electronics - general; Brand: da-lite; ModelNo: 20030; Price: 1600.0;,Title: da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite holoscreen rear projection screen - 22 x 33 3 4 video format,electronics - general,da-lite,20030,1600.0,da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format,projection screens,da-lite,nan,nan
not duplicate,Title: new york mets ipod touch 4g hard case; Category: electronics - general; Brand: tribeca; ModelNo: fva4459; Price: 29.99;,Title: dallas cowboys ipod touch 4g hard case; Category: computers accessories; Brand: tribeca; ModelNo: nan; Price: 29.99;,new york mets ipod touch 4g hard case,electronics - general,tribeca,fva4459,29.99,dallas cowboys ipod touch 4g hard case,computers accessories,tribeca,nan,29.99
duplicate,Title: aoc 2236vw 22 widescreen lcd monitor in piano black; Category: monitors; Brand: aoc; ModelNo: 2236vw; Price: 129.0;,Title: aoc 2236vw widescreen lcd monitor; Category: monitors; Brand: aoc; ModelNo: 2236vw; Price: 129.0;,aoc 2236vw 22 widescreen lcd monitor in piano black,monitors,aoc,2236vw,129.0,aoc 2236vw widescreen lcd monitor,monitors,aoc,2236vw,129.0
